SKU,category,forecast_14d_total,mu_demand,sigma_demand,mu_lead,sigma_lead,safety_stock,ROP,EOQ,current_stock,annual_cost_dynamic,annual_cost_static,cost_saving_pct,action
ITM11629,Pharma,290.42,20.744,0.039,7.0,1.5,51.19,196.4,32.87,96,62693.05,127940.32,51.0,Reorder Now
ITM11630,Apparel,584.88,41.777,0.358,5.0,1.5,103.09,311.98,47.02,249,111177.36,240393.9,53.75,Reorder Now
ITM11631,Apparel,508.22,36.302,0.336,4.0,1.5,89.58,234.79,43.83,421,98655.77,205891.03,52.08,Hold
ITM11632,Apparel,630.22,45.016,0.133,7.0,1.5,111.08,426.19,158.14,277,25903.07,30687.14,15.59,Reorder Now
ITM11633,Apparel,424.25,30.304,0.061,6.0,1.5,74.77,256.6,59.02,283,48016.5,88293.74,45.62,Hold
ITM11634,Apparel,115.26,8.233,0.447,2.0,1.5,20.34,36.81,61.17,350,8048.1,8808.2,8.63,Hold
ITM11635,Apparel,85.72,6.123,0.014,8.0,1.5,15.11,64.09,29.79,201,12425.12,19496.06,36.27,Hold
ITM11636,Apparel,50.2,3.585,0.018,7.0,1.5,8.85,33.95,28.88,400,6575.02,8448.7,22.18,Hold
ITM11637,Pharma,423.62,30.259,0.061,3.0,1.5,74.66,165.44,48.62,275,63120.22,116312.38,45.73,Hold
ITM11638,Electronics,165.73,11.838,0.047,4.0,1.5,29.21,76.56,27.37,57,34791.15,68555.09,49.25,Reorder Now
ITM11639,Groceries,505.89,36.135,0.042,8.0,1.5,89.16,378.24,57.84,195,64544.17,125109.77,48.41,Reorder Now
ITM11640,Automotive,466.26,33.304,0.064,7.0,1.5,82.18,315.31,45.48,46,81097.19,169706.59,52.21,Reorder Now
ITM11641,Groceries,244.39,17.456,0.339,6.0,1.5,43.1,147.83,120.61,295,10356.09,10239.24,-1.14,Hold
ITM11642,Groceries,151.43,10.816,0.422,9.0,1.5,26.77,124.12,25.53,159,33660.21,56202.21,40.11,Hold
ITM11643,Electronics,85.77,6.126,0.012,6.0,1.5,15.12,51.88,37.31,318,9538.51,12709.27,24.95,Hold
ITM11644,Electronics,512.74,36.624,0.44,4.0,1.5,90.38,236.88,61.13,464,60880.2,114987.75,47.06,Hold
ITM11645,Electronics,329.28,23.52,0.194,3.0,1.5,58.04,128.6,50.02,306,41367.96,72405.08,42.87,Hold
ITM11646,Apparel,251.13,17.938,0.055,7.0,1.5,44.26,169.83,31.92,110,52216.55,95649.31,45.41,Reorder Now
ITM11647,Pharma,579.89,41.42,0.153,9.0,1.5,102.21,474.99,46.21,499,112651.47,246369.65,54.28,Hold
ITM11648,Apparel,417.95,29.854,0.184,7.0,1.5,73.67,282.64,71.74,80,36232.07,59841.26,39.45,Reorder Now
ITM11649,Pharma,380.57,27.184,0.101,5.0,1.5,67.08,203.0,108.72,477,19718.8,24493.17,19.49,Hold
ITM11650,Pharma,510.94,36.496,0.413,2.0,1.5,90.06,163.05,52.19,470,76233.16,153999.06,50.5,Hold
ITM11651,Groceries,581.9,41.564,0.238,6.0,1.5,102.56,351.95,62.62,384,71494.87,134983.06,47.03,Hold
ITM11652,Groceries,465.23,33.231,0.105,7.0,1.5,82.0,314.61,53.29,366,63840.94,126721.63,49.62,Hold
ITM11653,Pharma,328.34,23.453,0.422,7.0,1.5,57.9,222.07,111.1,182,16000.28,18508.85,13.55,Reorder Now
ITM11654,Pharma,284.91,20.35,0.174,8.0,1.5,50.22,213.02,36.0,370,53124.67,98843.58,46.25,Hold
ITM11657,Groceries,505.89,36.135,0.04,3.0,1.5,89.16,197.57,82.57,272,39816.28,63920.64,37.71,Hold
ITM11658,Electronics,631.85,45.132,0.371,2.0,1.5,111.37,201.63,48.74,288,119269.17,250267.84,52.34,Hold
ITM11659,Pharma,632.31,45.165,0.033,7.0,1.5,111.44,427.6,103.7,388,41224.15,65256.55,36.83,Reorder Now
ITM11660,Apparel,212.6,15.186,0.199,4.0,1.5,37.48,98.22,31.92,310,40515.21,72651.7,44.23,Hold
ITM11661,Groceries,128.27,9.162,0.13,6.0,1.5,22.61,77.59,40.09,478,14718.14,23674.94,37.83,Hold
ITM11662,Apparel,214.38,15.313,0.069,5.0,1.5,37.78,114.35,41.02,206,28969.9,45020.38,35.65,Hold
ITM11663,Pharma,547.3,39.093,0.029,8.0,1.5,96.46,409.2,44.32,424,109392.12,223959.17,51.16,Hold
ITM11664,Pharma,255.33,18.238,0.179,4.0,1.5,45.01,117.96,79.3,457,16486.47,22771.67,27.6,Hold
ITM11665,Automotive,127.46,9.105,0.002,6.0,1.5,22.47,77.09,22.68,478,30827.69,57929.64,46.78,Hold
ITM11666,Electronics,85.84,6.132,0.249,9.0,1.5,15.18,70.36,17.96,433,24104.07,40884.82,41.04,Hold
ITM11667,Automotive,253.01,18.072,0.187,8.0,1.5,44.6,189.18,35.55,323,45133.45,80281.06,43.78,Hold
ITM11668,Groceries,116.33,8.309,0.504,3.0,1.5,20.55,45.48,83.21,310,6061.26,5854.29,-3.54,Hold
ITM11670,Groceries,467.06,33.362,0.087,2.0,1.5,82.32,149.04,43.29,185,87699.04,185555.47,52.74,Hold
ITM11671,Pharma,49.66,3.547,0.001,2.0,1.5,8.75,15.85,13.45,434,16532.69,17228.77,4.04,Hold
ITM11672,Automotive,86.14,6.153,0.209,6.0,1.5,15.2,52.12,19.08,481,22271.53,41542.76,46.39,Hold
ITM11673,Automotive,583.03,41.645,0.149,4.0,1.5,102.76,269.34,66.21,427,66190.24,125999.97,47.47,Hold
ITM11674,Automotive,582.86,41.633,0.3,5.0,1.5,102.74,310.9,54.34,133,88436.08,180970.74,51.13,Reorder Now
ITM11675,Groceries,250.55,17.897,0.178,3.0,1.5,44.16,97.85,41.89,452,35302.72,59900.33,41.06,Hold
ITM11676,Pharma,85.27,6.091,0.012,6.0,1.5,15.03,51.57,28.12,499,13239.88,17841.34,25.79,Hold
ITM11677,Apparel,504.88,36.063,0.118,9.0,1.5,88.99,413.56,52.87,375,73376.68,141853.35,48.27,Reorder Now
ITM11678,Apparel,251.31,17.951,0.057,3.0,1.5,44.29,98.15,33.92,435,47812.23,94023.03,49.15,Hold
ITM11681,Electronics,130.99,9.356,0.038,7.0,1.5,23.09,88.58,46.11,275,12821.02,15690.95,18.29,Hold
ITM11682,Groceries,422.11,30.15,0.284,5.0,1.5,74.4,225.16,61.01,254,45537.67,79771.38,42.91,Hold
ITM11683,Groceries,630.55,45.039,0.175,3.0,1.5,111.14,246.25,80.79,461,56556.86,99691.8,43.27,Hold
ITM11684,Pharma,548.24,39.16,0.068,6.0,1.5,96.63,331.59,91.28,374,39382.02,63664.49,38.14,Hold
ITM11685,Apparel,380.25,27.161,0.116,5.0,1.5,67.02,202.82,53.75,22,46394.53,85371.36,45.66,Reorder Now
ITM11686,Groceries,287.66,20.547,0.103,8.0,1.5,50.7,215.08,32.89,227,61718.42,128742.34,52.06,Hold
ITM11688,Automotive,316.68,22.62,0.183,9.0,1.5,55.82,259.4,59.45,360,31055.7,51134.48,39.27,Hold
ITM11689,Automotive,170.98,12.213,0.321,4.0,1.5,30.15,79.0,39.83,144,21896.39,37276.26,41.26,Hold
ITM11691,Pharma,631.55,45.111,0.069,6.0,1.5,111.31,381.97,76.54,358,61028.43,107345.13,43.15,Reorder Now
ITM11692,Electronics,252.12,18.008,0.063,3.0,1.5,44.44,98.46,40.1,44,37844.4,72099.94,47.51,Reorder Now
ITM11693,Automotive,579.5,41.393,0.186,5.0,1.5,102.14,309.11,81.71,87,49159.21,85591.78,42.57,Reorder Now
ITM11694,Apparel,301.84,21.56,0.248,6.0,1.5,53.21,182.57,53.26,80,33469.49,57918.89,42.21,Reorder Now
ITM11695,Automotive,293.96,20.997,0.442,5.0,1.5,51.84,156.82,38.19,48,51147.41,95963.05,46.7,Reorder Now
ITM11696,Pharma,49.19,3.514,0.007,5.0,1.5,8.67,26.24,17.04,402,11996.54,13614.98,11.89,Hold
ITM11697,Automotive,506.02,36.144,0.05,5.0,1.5,89.19,269.91,113.62,38,27322.56,36527.05,25.2,Reorder Now
ITM11699,Pharma,465.83,33.274,0.049,6.0,1.5,82.1,281.75,132.33,469,20943.77,25477.61,17.8,Hold
ITM11700,Pharma,126.85,9.06,0.012,2.0,1.5,22.36,40.48,59.03,93,9377.35,10994.03,14.71,Hold
ITM11701,Pharma,86.83,6.202,0.01,2.0,1.5,15.3,27.71,20.83,80,19990.56,32885.94,39.21,Hold
ITM11702,Pharma,422.8,30.2,0.042,3.0,1.5,74.52,165.12,45.64,446,69103.79,131394.58,47.41,Hold
ITM11703,Apparel,288.29,20.592,0.232,8.0,1.5,50.82,215.56,121.28,172,12552.59,13608.15,7.76,Reorder Now
ITM11704,Electronics,287.91,20.565,0.155,3.0,1.5,50.75,112.44,39.47,295,47220.29,93981.72,49.76,Hold
ITM11705,Groceries,676.42,48.316,0.008,7.0,1.5,119.22,457.43,173.77,67,25928.45,29953.7,13.44,Reorder Now
ITM11706,Electronics,506.22,36.159,0.054,5.0,1.5,89.22,270.01,43.28,230,99942.61,210461.68,52.51,Reorder Now
ITM11707,Pharma,298.4,21.315,0.428,6.0,1.5,52.62,180.51,38.74,362,51244.51,96861.0,47.09,Hold
ITM11708,Apparel,49.83,3.559,0.022,6.0,1.5,8.78,30.14,28.12,427,6711.24,6135.18,-9.39,Hold
ITM11709,Automotive,76.79,5.485,0.121,4.0,1.5,13.54,35.48,37.03,158,8384.03,7839.97,-6.94,Hold
ITM11710,Apparel,466.98,33.355,0.157,4.0,1.5,82.31,215.73,53.17,129,64435.55,127504.3,49.46,Reorder Now
ITM11711,Pharma,569.51,40.68,0.417,9.0,1.5,100.4,466.51,55.94,202,81606.06,166656.99,51.03,Reorder Now
ITM11712,Apparel,510.04,36.432,0.388,2.0,1.5,89.9,162.76,46.57,47,90330.35,181412.3,50.21,Reorder Now
ITM11713,Apparel,287.67,20.548,0.165,4.0,1.5,50.71,132.9,33.6,216,59754.64,119646.78,50.06,Hold
ITM11714,Pharma,51.78,3.699,0.021,4.0,1.5,9.13,23.92,20.86,210,9978.36,11658.94,14.41,Hold
ITM11715,Apparel,677.13,48.366,0.014,2.0,1.5,119.34,216.08,53.34,334,115976.35,243334.21,52.34,Hold
ITM11716,Groceries,677.22,48.373,0.01,7.0,1.5,119.36,457.97,65.43,408,85043.95,169674.71,49.88,Reorder Now
ITM11717,Groceries,381.1,27.222,0.025,8.0,1.5,67.17,284.94,52.44,70,48187.8,89812.1,46.35,Reorder Now
ITM11718,Apparel,78.34,5.596,0.438,2.0,1.5,13.84,25.04,19.78,168,18572.58,25518.05,27.22,Hold
ITM11719,Automotive,381.23,27.231,0.07,8.0,1.5,67.19,285.04,95.27,287,22759.5,31572.37,27.91,Hold
ITM11720,Pharma,631.07,45.076,0.066,9.0,1.5,111.23,516.91,86.68,69,51566.82,87462.89,41.04,Reorder Now
ITM11721,Groceries,466.82,33.344,0.11,4.0,1.5,82.28,215.65,44.95,407,82710.02,172151.73,51.96,Hold
ITM11722,Automotive,499.85,35.703,0.253,6.0,1.5,88.1,302.32,58.04,265,63057.5,120893.43,47.84,Reorder Now
ITM11723,Apparel,86.18,6.156,0.012,4.0,1.5,15.19,39.81,18.34,132,23520.16,35342.95,33.45,Hold
ITM11724,Automotive,100.3,7.164,0.42,5.0,1.5,17.74,53.56,51.51,189,8132.46,9086.65,10.5,Hold
ITM11725,Electronics,127.67,9.119,0.012,9.0,1.5,22.5,104.58,36.09,487,16635.59,21165.98,21.4,Hold
ITM11726,Groceries,630.35,45.025,0.247,8.0,1.5,111.1,471.3,75.98,185,61478.9,111998.31,45.11,Reorder Now
ITM11727,Apparel,380.22,27.159,0.099,8.0,1.5,67.02,284.29,54.93,428,45016.81,79473.77,43.36,Hold
ITM11728,Pharma,545.32,38.952,0.319,5.0,1.5,96.12,290.88,44.47,33,108197.11,232593.34,53.48,Reorder Now
ITM11729,Apparel,85.88,6.134,0.012,5.0,1.5,15.14,45.81,29.82,222,12441.19,19543.99,36.34,Hold
ITM11730,Pharma,632.0,45.143,0.241,7.0,1.5,111.39,427.39,64.35,307,78160.6,155333.25,49.68,Reorder Now
ITM11731,Apparel,582.8,41.629,0.122,3.0,1.5,102.72,227.6,60.97,414,74511.61,142818.88,47.83,Hold
ITM11732,Automotive,165.84,11.846,0.026,5.0,1.5,29.23,88.46,27.56,208,34495.34,63668.69,45.82,Hold
ITM11733,Automotive,630.84,45.06,0.066,8.0,1.5,111.19,471.66,64.59,421,77515.18,146057.31,46.93,Reorder Now
ITM11734,Automotive,215.6,15.4,0.034,6.0,1.5,38.0,130.4,35.1,174,36162.71,59645.22,39.37,Hold
ITM11735,Electronics,162.71,11.622,0.325,8.0,1.5,28.72,121.7,27.56,74,33550.35,58405.14,42.56,Reorder Now
ITM11736,Pharma,215.26,15.376,0.084,8.0,1.5,37.94,160.95,72.82,201,14529.77,17689.98,17.86,Hold
ITM11737,Automotive,631.31,45.093,0.18,7.0,1.5,111.27,426.92,48.34,229,120664.97,259049.31,53.42,Reorder Now
ITM11738,Electronics,637.79,45.557,0.419,3.0,1.5,112.42,249.09,51.62,395,110694.96,232687.84,52.43,Hold
ITM11739,Pharma,244.01,17.429,0.298,3.0,1.5,43.02,95.3,45.55,490,30335.25,50584.78,40.03,Hold
ITM11740,Apparel,513.6,36.686,0.494,5.0,1.5,90.54,273.97,49.79,94,82499.71,160988.31,48.75,Reorder Now
ITM11742,Groceries,579.85,41.418,0.188,4.0,1.5,102.2,267.87,49.07,447,102527.33,208541.13,50.84,Hold
ITM11743,Electronics,214.99,15.356,0.007,8.0,1.5,37.89,160.74,57.78,152,18865.31,28008.18,32.64,Reorder Now
ITM11744,Electronics,384.55,27.468,0.443,2.0,1.5,67.78,122.72,43.67,362,63595.45,117993.14,46.1,Hold
ITM11745,Pharma,465.9,33.279,0.112,4.0,1.5,82.12,215.23,144.22,444,19291.37,22263.07,13.35,Hold
ITM11746,Apparel,51.9,3.707,0.036,4.0,1.5,9.15,23.98,34.04,78,5720.38,5680.22,-0.71,Hold
ITM11747,Groceries,286.91,20.494,0.189,3.0,1.5,50.57,112.05,36.13,364,53423.58,98236.25,45.62,Hold
ITM11748,Automotive,505.71,36.122,0.074,3.0,1.5,89.13,197.5,46.93,201,88039.39,174769.16,49.63,Hold
ITM11749,Automotive,173.71,12.408,0.305,7.0,1.5,30.65,117.5,31.76,477,30281.94,56971.71,46.85,Hold
ITM11750,Electronics,674.75,48.196,0.306,7.0,1.5,118.93,456.3,63.11,425,89195.45,175975.43,49.31,Reorder Now
ITM11751,Pharma,85.08,6.077,0.106,3.0,1.5,15.0,33.23,20.0,358,20523.67,18121.88,-13.25,Hold
ITM11752,Pharma,668.64,47.76,0.494,6.0,1.5,117.87,404.43,51.23,340,121044.29,257070.66,52.91,Reorder Now
ITM11753,Automotive,165.05,11.789,0.26,6.0,1.5,29.11,99.84,36.19,83,23602.96,38565.6,38.8,Reorder Now
ITM11754,Groceries,99.41,7.101,0.395,2.0,1.5,17.54,31.75,47.11,346,8847.04,7258.89,-21.88,Hold
ITM11755,Apparel,225.2,16.086,0.322,3.0,1.5,39.7,87.96,30.85,279,46457.07,84775.63,45.2,Hold
ITM11756,Groceries,548.36,39.168,0.059,5.0,1.5,96.65,292.49,72.27,212,53388.74,95623.74,44.17,Reorder Now
ITM11757,Apparel,547.93,39.138,0.067,7.0,1.5,96.57,370.54,105.75,162,32988.89,47154.54,30.04,Reorder Now
ITM11758,Automotive,159.29,11.378,0.213,3.0,1.5,28.08,62.22,29.93,123,28968.43,50237.92,42.34,Hold
ITM11760,Pharma,465.15,33.225,0.115,3.0,1.5,81.98,181.66,57.64,425,57026.35,103817.19,45.07,Hold
ITM11761,Electronics,331.48,23.677,0.0,6.0,1.5,58.42,200.48,36.99,233,64572.21,126900.75,49.12,Hold
ITM11762,Electronics,553.07,39.505,0.323,3.0,1.5,97.48,216.0,79.82,261,47334.03,81215.18,41.72,Hold
ITM11763,Automotive,77.27,5.52,0.389,8.0,1.5,13.74,57.9,65.16,450,4751.06,4954.41,4.1,Hold
ITM11764,Pharma,421.78,30.127,0.242,5.0,1.5,74.34,224.98,65.14,228,41645.73,73171.57,43.08,Hold
ITM11765,Groceries,505.79,36.128,0.024,9.0,1.5,89.15,414.29,173.51,112,18097.67,18953.33,4.51,Reorder Now
ITM11766,Pharma,677.22,48.373,0.015,2.0,1.5,119.36,216.11,65.43,449,85043.72,170781.74,50.2,Hold
ITM11767,Electronics,464.09,33.15,0.145,8.0,1.5,81.8,347.0,63.58,161,49562.32,91124.82,45.61,Reorder Now
ITM11768,Electronics,163.45,11.675,0.186,5.0,1.5,28.82,87.19,26.6,453,35504.47,68590.36,48.24,Hold
ITM11769,Pharma,87.04,6.217,0.034,6.0,1.5,15.34,52.65,19.59,423,21790.19,37907.16,42.52,Hold
ITM11770,Pharma,461.82,32.987,0.234,7.0,1.5,81.4,312.31,59.56,453,53868.78,97025.24,44.48,Hold
ITM11771,Electronics,383.3,27.379,0.404,7.0,1.5,67.58,259.23,73.27,131,31215.66,48168.1,35.19,Reorder Now
ITM11772,Groceries,631.7,45.122,0.055,4.0,1.5,111.34,291.82,70.81,436,68068.9,126859.7,46.34,Hold
ITM11773,Automotive,502.84,35.917,0.099,5.0,1.5,88.63,268.21,52.16,394,74387.04,148808.03,50.01,Hold
ITM11774,Automotive,380.73,27.195,0.214,3.0,1.5,67.11,148.69,76.89,78,29140.22,43152.62,32.47,Reorder Now
ITM11776,Automotive,290.05,20.718,0.065,3.0,1.5,51.12,113.27,53.27,226,31596.91,53040.3,40.43,Hold
ITM11777,Electronics,169.22,12.087,0.273,3.0,1.5,29.83,66.1,25.42,287,39922.3,75121.18,46.86,Hold
ITM11778,Electronics,60.67,4.334,0.051,5.0,1.5,10.7,32.36,20.13,315,12827.65,11875.05,-8.02,Hold
ITM11779,Pharma,411.99,29.428,0.456,9.0,1.5,72.65,337.5,41.48,137,76605.93,153228.44,50.01,Reorder Now
ITM11781,Pharma,165.83,11.845,0.012,4.0,1.5,29.23,76.61,32.09,241,27901.68,46043.12,39.4,Hold
ITM11782,Groceries,124.2,8.871,0.458,8.0,1.5,21.99,92.97,25.17,185,25721.2,37079.9,30.63,Hold
ITM11783,Automotive,165.77,11.841,0.161,3.0,1.5,29.22,64.74,26.87,150,35737.51,58118.07,38.51,Hold
ITM11785,Apparel,465.7,33.264,0.081,4.0,1.5,82.08,215.14,45.45,203,81016.27,167046.45,51.5,Reorder Now
ITM11786,Apparel,291.49,20.821,0.187,8.0,1.5,51.38,217.95,67.28,109,23722.83,35548.88,33.27,Reorder Now
ITM11787,Electronics,370.77,26.484,0.276,3.0,1.5,65.35,144.81,64.84,113,34770.54,61360.81,43.33,Reorder Now
ITM11788,Automotive,461.44,32.96,0.147,2.0,1.5,81.33,147.25,78.13,32,37444.07,59663.0,37.24,Reorder Now
ITM11789,Pharma,676.66,48.333,0.016,8.0,1.5,119.26,505.92,54.62,480,111637.42,233771.01,52.24,Reorder Now
ITM11790,Apparel,86.39,6.171,0.416,5.0,1.5,15.3,46.16,48.72,341,7201.89,7618.19,5.46,Hold
ITM11791,Automotive,290.3,20.735,0.098,9.0,1.5,51.17,237.79,35.89,312,54941.68,109826.09,49.97,Hold
ITM11792,Electronics,166.47,11.891,0.066,7.0,1.5,29.34,112.58,37.62,452,22701.65,40092.82,43.38,Hold
ITM11793,Groceries,338.36,24.169,0.217,7.0,1.5,59.64,228.82,98.32,249,18825.3,24567.71,23.37,Hold
ITM11794,Automotive,632.44,45.174,0.035,3.0,1.5,111.47,246.99,70.46,341,68670.68,130825.97,47.51,Hold
ITM11795,Automotive,506.58,36.184,0.057,3.0,1.5,89.28,197.84,73.49,311,46409.96,80493.55,42.34,Hold
ITM11797,Automotive,325.56,23.254,0.463,2.0,1.5,57.39,103.9,48.22,45,42792.3,75153.85,43.06,Reorder Now
ITM11798,Electronics,465.06,33.219,0.097,7.0,1.5,81.97,314.5,70.94,94,42899.35,74392.0,42.33,Reorder Now
ITM11799,Electronics,51.88,3.705,0.03,3.0,1.5,9.14,20.26,14.59,475,15751.53,19660.54,19.88,Hold
ITM11800,Groceries,423.8,30.272,0.043,4.0,1.5,74.7,195.78,58.99,383,47975.61,84648.58,43.32,Hold
ITM11801,Pharma,387.51,27.679,0.501,3.0,1.5,68.31,151.35,52.88,443,48842.94,90444.3,46.0,Hold
ITM11802,Apparel,251.69,17.978,0.041,7.0,1.5,44.36,170.21,32.42,318,51206.65,98844.25,48.19,Hold
ITM11803,Pharma,160.49,11.464,0.375,6.0,1.5,28.33,97.11,65.16,169,11305.11,13755.72,17.82,Hold
ITM11804,Automotive,575.78,41.127,0.25,9.0,1.5,101.49,471.63,69.97,167,60075.26,108380.89,44.57,Reorder Now
ITM11805,Apparel,50.83,3.63,0.037,7.0,1.5,8.96,34.37,20.43,27,9994.34,14752.88,32.26,Reorder Now
ITM11807,Groceries,324.3,23.164,0.431,2.0,1.5,57.17,103.49,87.87,315,20109.13,26817.34,25.01,Hold
ITM11808,Apparel,171.75,12.268,0.266,4.0,1.5,30.28,79.36,63.95,493,12557.41,17581.05,28.57,Hold
ITM11809,Electronics,547.86,39.133,0.117,6.0,1.5,96.56,331.36,66.31,433,60050.55,106437.06,43.58,Hold
ITM11810,Apparel,464.94,33.21,0.081,6.0,1.5,81.95,281.2,144.07,228,19260.04,21383.85,9.93,Reorder Now
ITM11811,Automotive,547.52,39.109,0.216,3.0,1.5,96.5,213.83,82.12,147,44950.84,74898.33,39.98,Reorder Now
ITM11812,Electronics,251.51,17.965,0.032,3.0,1.5,44.33,98.22,61.18,359,21763.22,31137.37,30.11,Hold
ITM11813,Groceries,500.87,35.776,0.107,7.0,1.5,88.28,338.71,58.94,135,61874.5,120756.5,48.76,Reorder Now
ITM11814,Apparel,584.32,41.737,0.173,5.0,1.5,102.99,311.67,186.5,458,20296.36,21576.02,5.93,Hold
ITM11815,Pharma,250.51,17.893,0.111,9.0,1.5,44.15,205.19,36.01,163,43643.82,81356.84,46.36,Reorder Now
ITM11816,Pharma,251.45,17.961,0.047,4.0,1.5,44.32,116.16,32.22,449,51609.4,98185.04,47.44,Hold
ITM11817,Automotive,631.55,45.11,0.227,7.0,1.5,111.31,427.09,55.97,337,96157.44,195346.99,50.78,Reorder Now
ITM11818,Pharma,85.84,6.131,0.246,5.0,1.5,15.16,45.81,19.28,254,21856.52,24997.68,12.57,Hold
ITM11819,Apparel,248.8,17.771,0.297,7.0,1.5,43.87,168.27,36.69,26,42058.02,79130.11,46.85,Reorder Now
ITM11820,Apparel,86.03,6.145,0.015,9.0,1.5,15.16,70.47,24.08,483,16304.1,28250.89,42.29,Hold
ITM11821,Pharma,52.21,3.729,0.031,9.0,1.5,9.2,42.77,26.78,64,7510.22,8778.3,14.45,Hold
ITM11822,Apparel,86.29,6.164,0.062,6.0,1.5,15.21,52.2,31.28,462,11815.51,17922.9,34.08,Hold
ITM11823,Automotive,294.21,21.015,0.386,3.0,1.5,51.87,114.91,54.79,258,31086.38,53945.63,42.37,Hold
ITM11824,Electronics,466.74,33.339,0.12,3.0,1.5,82.26,182.28,140.04,459,19878.27,23914.76,16.88,Hold
ITM11825,Automotive,214.93,15.352,0.02,9.0,1.5,37.88,176.05,28.96,451,47450.83,90161.77,47.37,Hold
ITM11826,Automotive,582.82,41.63,0.115,7.0,1.5,102.72,394.13,47.96,174,107144.97,229206.94,53.25,Reorder Now
ITM11827,Apparel,331.63,23.688,0.046,9.0,1.5,58.45,271.64,88.86,200,20453.19,26670.79,23.31,Reorder Now
ITM11828,Electronics,676.74,48.339,0.018,3.0,1.5,119.28,264.29,64.55,234,86655.14,170927.3,49.3,Reorder Now
ITM11830,Groceries,540.19,38.585,0.355,7.0,1.5,95.22,365.31,52.5,275,82526.02,166042.26,50.3,Reorder Now
ITM11831,Apparel,638.72,45.623,0.331,6.0,1.5,112.58,386.32,60.41,92,87256.05,177001.04,50.7,Reorder Now
ITM11832,Apparel,505.42,36.101,0.021,8.0,1.5,89.08,377.89,103.04,438,30431.06,43676.92,30.33,Hold
ITM11834,Electronics,165.82,11.844,0.042,7.0,1.5,29.23,112.14,30.66,231,29702.96,55070.11,46.06,Hold
ITM11835,Apparel,251.83,17.988,0.07,3.0,1.5,44.38,98.35,40.26,312,37574.85,67134.06,44.03,Hold
ITM11836,Electronics,536.36,38.311,0.132,6.0,1.5,94.53,324.4,66.74,253,57617.44,104091.75,44.65,Reorder Now
ITM11838,Groceries,583.88,41.706,0.017,3.0,1.5,102.91,228.03,49.39,258,102666.23,214575.0,52.15,Hold
ITM11839,Electronics,627.59,44.828,0.273,9.0,1.5,110.62,514.07,60.87,242,83919.15,162661.92,48.41,Reorder Now
ITM11841,Electronics,583.5,41.678,0.021,6.0,1.5,102.84,352.91,67.31,332,64742.04,119710.09,45.92,Reorder Now
ITM11842,Electronics,115.46,8.247,0.445,5.0,1.5,20.42,61.65,24.02,283,24696.4,44059.77,43.95,Hold
ITM11843,Groceries,251.53,17.966,0.028,2.0,1.5,44.33,80.27,74.93,226,17208.73,22817.85,24.58,Hold
ITM11844,Automotive,380.5,27.178,0.083,5.0,1.5,67.06,202.95,55.89,114,44004.52,76124.97,42.19,Reorder Now
ITM11845,Automotive,165.72,11.837,0.034,8.0,1.5,29.21,123.91,50.73,392,15581.7,22833.5,31.76,Hold
ITM11846,Electronics,424.12,30.295,0.131,9.0,1.5,74.75,347.41,63.98,241,43001.83,72568.89,40.74,Reorder Now
ITM11847,Apparel,422.78,30.199,0.099,6.0,1.5,74.52,255.71,141.89,385,17359.42,18912.2,8.21,Hold
ITM11849,Apparel,549.9,39.278,0.122,3.0,1.5,96.92,214.76,63.96,399,63542.43,120703.15,47.36,Hold
ITM11850,Apparel,464.18,33.156,0.082,8.0,1.5,81.81,347.06,42.8,250,88376.42,175511.35,49.65,Reorder Now
ITM11851,Electronics,251.37,17.955,0.145,6.0,1.5,44.31,152.04,41.75,328,35630.81,58691.84,39.29,Hold
ITM11852,Electronics,165.58,11.827,0.002,2.0,1.5,29.18,52.84,35.1,138,24683.07,42948.87,42.53,Hold
ITM11853,Electronics,631.8,45.129,0.083,6.0,1.5,111.36,382.13,53.11,287,104283.55,210763.71,50.52,Reorder Now
ITM11855,Automotive,165.48,11.82,0.019,3.0,1.5,29.17,64.62,64.97,292,11777.98,15533.69,24.18,Hold
ITM11856,Electronics,50.54,3.61,0.043,5.0,1.5,8.91,26.96,26.87,83,7188.35,7961.97,9.72,Hold
ITM11857,Automotive,548.72,39.194,0.016,4.0,1.5,96.71,253.49,49.49,317,92536.71,194590.09,52.45,Hold
ITM11858,Automotive,424.39,30.314,0.06,5.0,1.5,74.8,226.37,46.7,369,67174.38,134684.81,50.12,Hold
ITM11859,Electronics,85.93,6.138,0.011,3.0,1.5,15.15,33.56,47.68,432,7311.63,8720.24,16.15,Hold
ITM11860,Groceries,410.7,29.336,0.515,8.0,1.5,72.43,307.11,46.27,422,64709.48,127558.51,49.27,Hold
ITM11861,Pharma,331.48,23.677,0.0,3.0,1.5,58.42,129.45,35.58,30,68485.09,134675.69,49.15,Reorder Now
ITM11862,Apparel,547.7,39.122,0.033,9.0,1.5,96.53,448.63,143.49,117,23785.57,28837.93,17.52,Reorder Now
ITM11863,Automotive,175.34,12.524,0.307,2.0,1.5,30.91,55.96,31.4,453,31171.92,50307.33,38.04,Hold
ITM11864,Pharma,324.55,23.182,0.493,6.0,1.5,57.24,196.33,53.17,90,37275.46,64527.26,42.23,Reorder Now
ITM11865,Groceries,128.07,9.148,0.15,9.0,1.5,22.58,104.91,29.52,383,21636.63,34266.39,36.86,Hold
